Tiempo (s)  Temperatura (C)  Voltaje HV (V)   Corriente SiPM
0.10            9.96            41.37            0.77
1.52            10.06            41.39            1.52
4.95            10.25            41.49            1.25
5.36            10.11            41.49            1.22
5.77            10.21            41.48            1.15
6.17            10.25            41.46            1.20
6.58            10.21            41.46            1.21
6.98            10.40            41.50            1.17
7.39            10.40            41.47            1.19
7.80            10.16            41.47            1.20
8.20            10.30            41.48            1.18
8.61            10.21            41.44            1.17
9.02            10.21            41.51            1.20
9.42            10.25            41.46            1.21
9.83            10.16            41.47            1.12
10.23            10.21            41.46            1.11
10.64            10.35            41.46            1.17
11.05            10.06            41.52            1.15
11.45            10.16            41.47            1.11
11.86            10.45            41.56            1.31
12.27            10.25            41.66            1.20
12.67            10.30            41.48            1.02
13.08            10.21            41.48            1.22
13.49            10.35            41.46            1.28
13.89            10.16            41.47            1.24
14.30            10.40            41.49            1.19
14.71            10.30            41.54            1.14
15.11            10.45            41.52            1.19
15.52            10.21            41.51            1.09
15.92            10.25            41.50            1.10
16.33            10.55            41.51            1.11
16.74            10.11            41.50            1.18
17.14            10.35            41.49            1.22
17.55            10.16            41.56            1.18
17.96            10.21            41.52            1.09
18.36            10.30            41.49            1.20
18.77            10.21            41.52            1.16
19.18            10.35            41.53            1.20
19.58            10.11            41.52            1.21
19.99            10.25            41.50            1.11
20.39            10.40            42.13            1.13
20.80            10.16            41.95            1.13
21.21            10.35            41.97            1.19
21.61            10.35            42.00            1.17
22.02            10.40            42.02            1.15
22.43            10.01            42.03            1.19
22.83            10.16            42.01            1.15
23.24            10.40            42.00            1.03
23.65            10.45            42.01            1.12
24.05            10.25            42.00            1.14
24.46            10.30            42.03            1.00
24.86            10.11            42.01            1.00
25.27            9.86            42.03            1.03
27.70            10.16            42.53            1.50
31.13            10.01            42.50            1.21
31.54            10.16            42.53            1.16
31.94            10.06            42.51            1.10
32.35            10.25            42.49            1.15
32.76            10.01            42.52            1.17
33.16            9.96            42.50            1.04
35.59            9.67            42.42            1.53
36.00            9.96            43.00            1.62
36.40            9.96            42.97            1.66
36.81            9.62            42.87            1.64
37.22            9.72            42.90            1.65
37.62            10.01            42.86            1.62
41.05            9.72            43.02            1.34
43.48            9.62            43.37            1.55
43.89            9.91            43.38            1.62
44.30            9.62            43.37            1.60
44.70            9.67            43.35            1.62
45.11            9.62            43.38            1.64
45.51            9.86            43.39            1.66
45.92            9.57            43.40            1.54
46.33            9.67            43.38            1.67
46.73            9.81            43.38            1.67
47.14            9.72            43.40            1.70
47.55            9.67            43.36            1.63
47.95            9.81            43.40            1.64
48.36            9.72            43.40            1.69
48.76            9.67            43.39            1.69
49.17            9.52            43.44            1.55
49.58            9.67            43.41            1.64
49.98            9.52            43.38            1.66
50.39            9.62            43.41            1.69
50.80            9.57            43.41            1.71
51.20            9.67            43.40            1.70
51.61            9.62            43.37            1.67
52.02            9.62            43.40            1.75
52.42            9.81            43.42            1.69
52.83            9.91            43.37            1.71
53.23            9.77            43.38            1.69
53.64            9.57            43.36            1.77
54.05            9.57            43.96            1.67
54.45            9.67            43.97            1.66
54.86            9.47            43.84            1.58
55.27            9.47            43.84            1.70
55.67            9.67            43.84            1.72
56.08            9.81            43.87            1.65
56.49            9.77            43.87            1.69
56.89            9.77            43.85            1.71
57.30            9.72            43.86            1.80
57.70            9.62            43.86            1.71
58.11            9.67            43.87            1.73
58.52            9.62            43.90            1.76
58.92            9.72            43.87            1.70
59.33            10.01            43.86            1.72
62.76            9.62            44.40            1.51
65.19            9.72            44.34            1.67
65.59            9.62            44.32            1.66
66.00            9.67            44.36            1.68
66.41            9.62            44.39            1.65
66.81            9.86            44.37            1.72
67.22            9.86            44.32            1.70
67.63            9.67            44.92            1.81
68.03            9.77            44.98            1.65
68.44            9.96            44.82            1.73
68.84            9.91            44.88            1.66
69.25            9.67            44.86            1.72
69.66            10.01            44.84            1.71
73.09            10.06            44.93            1.41
73.50            10.11            44.92            1.40
73.90            10.35            44.92            1.40
74.31            9.81            44.92            1.36
76.74            10.16            45.30            1.66
80.17            10.16            45.41            1.38
80.57            10.06            45.45            1.41
80.98            10.16            45.43            1.41
81.39            10.16            45.42            1.35
81.79            10.30            45.44            1.23
82.20            10.16            45.43            1.30
82.61            10.21            45.43            1.21
83.01            10.11            45.41            1.22
83.42            10.35            45.43            1.24
83.82            10.25            45.43            1.33
84.23            10.25            45.42            1.28
84.64            10.01            45.97            1.38
85.04            10.11            46.05            1.31
85.45            10.16            45.83            1.23
85.86            10.16            45.87            1.32
86.26            10.01            45.87            1.32
86.67            10.11            45.89            1.28
87.08            10.16            45.86            1.31
87.48            10.06            45.89            1.27
87.89            10.30            45.90            1.37
88.30            10.06            45.90            1.35
88.70            10.35            45.89            1.22
89.11            10.45            45.86            1.25
89.51            9.91            45.91            1.32
91.94            10.21            46.22            1.72
95.37            10.21            46.39            1.23
95.78            10.21            46.41            1.28
96.19            10.01            46.39            1.22
96.59            10.25            46.39            1.21
97.00            10.21            46.40            1.21
97.40            10.06            46.34            1.22
97.81            10.11            46.37            1.28
98.22            10.25            46.38            1.22
98.62            10.35            46.38            1.25
99.03            10.16            46.37            1.32
99.44            10.30            46.36            1.22
99.84            10.30            46.38            1.23
100.25            10.16            46.38            1.34
100.66            10.21            46.39            1.35
101.06            10.01            46.98            1.26
101.47            10.21            46.80            1.34
101.88            10.21            46.83            1.33
102.28            10.16            46.88            1.30
102.69            9.96            46.89            1.36
105.12            10.11            46.79            1.47
108.55            10.16            47.42            1.36
108.95            9.96            47.34            1.27
111.38            9.91            47.24            1.49
111.79            9.81            47.27            1.47
112.20            10.06            47.26            1.55
115.63            9.67            47.83            1.39
118.05            9.81            47.69            1.38
118.46            9.57            47.73            1.38
118.87            10.01            47.71            1.34
122.30            9.62            48.36            1.28
124.73            9.77            48.24            1.33
125.13            9.77            48.25            1.28
125.54            9.77            48.24            1.34
125.95            9.91            48.21            1.30
126.35            9.77            48.24            1.38
126.76            9.91            48.28            1.34
127.17            9.86            48.27            1.22
127.57            9.72            48.22            1.19
127.98            9.91            48.21            1.20
128.39            9.91            48.82            1.19
128.79            9.96            48.80            1.09
129.20            9.81            48.67            1.13
129.60            9.72            48.69            1.15
130.01            9.67            48.71            1.16
130.42            9.62            48.73            1.13
130.82            9.72            48.73            1.11
131.23            9.81            48.71            1.13
131.64            9.62            48.74            1.10
132.04            9.81            48.72            1.04
132.45            9.81            48.72            1.03
132.85            9.77            48.73            0.95
133.26            9.67            48.71            1.03
133.67            9.81            48.70            1.05
134.07            9.47            48.75            1.04
134.48            9.91            49.28            1.01
134.89            9.72            49.16            1.14
135.29            9.72            49.15            1.20
135.70            9.62            49.19            1.16
136.11            9.86            49.20            1.17
136.51            9.72            49.20            1.10
