Tiempo (s)  Temperatura (C)  Voltaje HV (V)   Corriente SiPM
0.10            30.62            41.41            0.48
1.52            30.96            41.46            0.63
1.93            30.62            41.46            0.69
2.33            30.62            41.47            0.69
2.74            30.91            41.46            0.83
3.15            30.57            41.46            0.74
3.55            30.76            41.46            0.74
3.96            30.86            41.45            0.77
4.37            30.76            41.44            0.77
4.77            30.66            41.49            0.82
5.18            30.81            41.50            0.78
5.59            30.71            41.44            0.83
5.99            30.66            41.44            0.82
6.40            31.01            41.48            0.84
6.80            31.15            41.46            0.77
7.21            30.91            41.49            0.84
7.62            30.86            41.46            0.82
8.02            30.76            41.48            0.82
8.43            30.76            41.46            0.80
8.84            30.57            41.51            0.78
9.24            30.71            41.51            0.83
9.65            30.76            41.48            0.84
10.06            30.66            41.51            0.79
10.46            30.86            41.53            0.82
10.87            30.76            41.53            0.79
11.27            30.91            41.52            0.79
11.68            30.62            41.51            0.81
12.09            30.71            41.53            0.77
12.49            30.76            41.52            0.82
12.90            30.76            41.51            0.80
13.31            30.76            41.51            0.82
13.71            31.10            41.50            0.83
14.12            30.76            41.50            1.01
14.53            30.76            41.59            0.86
14.93            31.15            41.42            0.81
15.34            30.66            41.41            0.88
15.75            30.66            41.41            0.85
16.15            30.76            41.45            0.82
16.56            30.66            41.45            0.77
16.96            30.47            41.45            0.78
17.37            30.57            41.47            0.77
17.78            31.01            41.61            0.80
18.18            30.86            41.60            0.81
18.59            31.01            41.41            0.84
19.00            30.62            41.42            0.82
19.40            30.86            41.41            0.86
19.81            30.81            41.45            0.89
20.21            30.57            41.45            0.77
20.62            31.01            41.48            0.83
21.03            30.57            41.48            0.86
21.43            31.01            41.66            0.91
21.84            30.32            41.48            0.64
22.25            30.71            41.45            0.85
22.65            30.86            41.49            0.83
23.06            30.76            41.48            0.94
23.47            30.71            41.49            0.83
23.87            30.66            41.47            0.82
24.28            30.71            41.48            0.83
24.69            30.86            41.49            0.81
25.09            30.57            41.48            0.78
25.50            30.81            42.13            0.83
25.90            30.57            41.92            0.81
26.31            30.66            41.94            0.79
26.72            30.22            41.98            0.85
27.12            30.81            41.97            0.87
27.53            30.57            41.98            0.93
27.94            30.52            42.00            0.90
28.34            30.81            41.95            0.85
28.75            30.62            41.97            0.90
29.16            30.86            41.96            0.90
29.56            30.57            41.96            0.90
29.97            30.86            41.96            0.91
30.37            30.42            42.00            0.99
30.78            30.71            41.98            0.86
31.19            30.27            41.97            0.87
31.59            30.81            42.01            0.90
32.00            30.66            41.60            0.94
32.41            30.91            41.38            0.95
32.81            30.86            41.39            0.89
33.22            30.86            41.42            0.89
33.63            30.71            41.45            0.86
34.03            30.66            41.45            0.99
34.44            30.42            41.44            0.89
34.85            30.66            41.45            0.85
35.25            30.71            41.44            0.83
35.66            30.71            41.49            0.82
36.06            30.71            42.52            1.51
36.47            30.86            42.60            0.85
36.88            30.52            42.41            0.67
37.28            30.76            42.40            0.77
37.69            30.62            42.44            0.83
38.10            30.62            42.46            0.77
38.50            30.52            42.45            0.83
38.91            30.76            42.44            0.78
39.32            30.57            42.45            0.79
39.72            30.52            43.07            0.80
40.13            30.37            43.07            0.81
40.54            30.27            42.90            0.86
40.94            30.47            42.95            0.78
41.35            30.57            42.94            0.79
41.75            30.62            42.95            0.81
42.16            30.86            42.96            0.81
42.57            30.66            42.96            0.85
42.97            30.71            42.96            0.87
43.38            30.52            42.96            0.88
43.79            30.66            42.94            0.88
44.19            30.62            42.94            0.84
44.60            30.42            43.16            1.45
45.01            30.47            43.57            0.78
45.41            30.42            43.38            0.83
45.82            30.66            43.39            0.85
46.22            30.57            43.42            0.85
46.63            30.52            43.45            0.88
47.04            30.76            43.44            0.80
47.44            30.66            43.47            0.91
47.85            30.66            43.46            0.85
48.26            30.71            43.44            0.84
48.66            30.52            43.45            0.83
49.07            30.76            43.44            0.75
49.48            30.76            43.45            0.78
49.88            30.32            44.03            0.79
50.29            30.62            44.02            0.71
50.70            30.57            43.85            0.83
51.10            30.57            43.91            0.82
51.51            30.52            43.92            0.84
51.91            30.71            43.92            0.83
52.32            30.32            43.92            0.73
52.73            30.52            43.93            0.76
53.13            30.37            43.95            0.78
53.54            30.57            43.93            0.81
53.95            30.62            43.93            0.81
54.35            30.62            43.92            0.83
54.76            30.81            43.93            0.85
55.16            30.66            43.95            0.87
55.57            30.91            43.93            0.92
55.98            30.52            43.90            0.99
56.38            30.27            43.90            0.96
56.79            30.47            43.94            0.87
57.20            30.47            43.93            0.83
57.60            30.37            43.93            0.88
58.01            30.62            44.54            0.94
58.42            30.52            44.35            0.79
58.82            30.37            44.37            0.93
59.23            30.47            44.39            0.92
59.64            30.66            44.38            0.87
60.04            30.62            44.39            0.83
60.45            30.32            44.42            0.87
60.86            30.27            44.42            0.86
61.26            30.86            44.97            0.97
61.67            30.66            45.01            0.86
62.07            30.37            44.84            0.83
62.48            30.57            44.89            0.82
62.89            30.47            44.90            0.87
63.29            30.52            44.90            0.81
63.70            30.37            44.90            0.79
64.11            30.62            44.89            0.80
64.51            30.57            44.90            0.83
64.92            30.57            44.91            0.88
65.33            30.71            44.90            0.90
65.73            30.62            44.92            0.90
66.14            30.62            44.90            0.89
66.54            30.57            44.89            0.84
66.95            30.47            44.90            0.80
67.36            30.52            44.91            0.79
67.76            30.57            44.90            0.79
68.17            30.57            44.95            0.82
68.58            30.62            44.92            0.75
68.98            30.66            44.89            0.75
69.39            30.81            44.91            0.72
69.80            30.22            44.90            0.78
70.20            30.86            44.93            0.82
70.61            30.62            44.91            0.83
71.01            30.42            44.89            0.79
71.42            30.57            44.90            0.74
71.83            30.37            44.92            0.75
72.23            30.37            44.93            0.73
72.64            30.47            44.90            0.74
73.05            30.52            44.93            0.81
