Tiempo (s)  Temperatura (C)  Voltaje HV (V)   Corriente SiPM
0.10            30.47            41.37            2.14
1.52            30.32            41.39            2.45
1.93            30.66            41.43            2.49
2.33            30.71            41.43            2.59
2.74            30.42            41.42            2.62
3.15            30.52            41.40            2.65
3.55            30.32            41.43            2.67
3.96            30.62            41.45            2.68
4.37            30.66            41.41            2.65
4.77            30.37            41.42            2.53
5.18            30.71            41.41            2.57
5.59            30.62            41.44            2.63
5.99            30.42            41.40            2.62
6.40            30.37            41.41            2.68
6.80            30.62            41.44            2.63
7.21            30.52            41.41            2.69
7.62            30.76            41.42            2.66
8.02            30.62            41.44            2.69
8.43            30.47            41.43            2.54
8.84            30.66            41.43            2.59
9.24            30.13            41.43            2.83
9.65            30.62            41.42            2.83
10.06            30.81            41.40            2.83
10.46            30.71            41.43            2.65
10.87            30.42            41.40            2.73
11.27            30.37            41.41            2.74
11.68            30.52            41.41            2.79
12.09            30.62            41.41            2.71
12.49            30.52            41.40            2.76
12.90            30.47            41.41            2.62
13.31            30.42            41.41            2.63
13.71            30.42            41.60            2.56
14.12            30.66            41.57            2.79
14.53            30.37            41.42            2.57
14.93            30.57            41.44            2.66
15.34            30.27            41.45            2.59
15.75            30.62            41.47            2.62
16.15            30.32            41.46            2.67
16.56            30.42            41.47            2.67
16.96            30.42            41.46            2.52
17.37            30.52            41.45            2.67
17.78            30.47            41.45            2.61
18.18            30.57            41.46            2.65
18.59            30.57            41.46            2.56
19.00            30.62            42.14            3.84
19.40            30.47            42.56            2.74
19.81            30.42            42.35            2.70
20.21            30.47            42.39            2.70
20.62            30.47            42.39            2.78
21.03            30.47            42.37            2.78
21.43            30.27            42.38            2.77
21.84            30.22            42.38            2.83
22.25            30.47            42.40            2.76
22.65            30.27            42.42            2.71
23.06            30.71            42.41            2.71
23.47            30.22            42.45            2.72
23.87            30.32            42.45            2.71
24.28            30.57            42.45            2.75
24.69            30.08            42.46            2.81
25.09            30.37            43.48            3.13
25.50            30.52            43.50            2.74
25.90            30.27            43.36            2.90
26.31            30.13            43.36            2.81
26.72            30.47            43.39            2.80
27.12            30.27            43.41            2.78
27.53            30.42            43.39            2.95
27.94            30.27            43.38            2.90
28.34            30.18            43.39            2.87
28.75            30.37            43.43            2.81
29.16            30.57            43.42            2.82
29.56            30.47            43.41            2.82
29.97            30.42            44.50            2.95
30.38            30.71            44.35            2.87
30.78            30.32            44.33            2.87
31.19            30.18            44.37            2.72
31.59            30.18            44.36            2.82
32.00            30.27            44.38            2.93
32.41            30.18            44.34            2.71
32.81            30.52            44.36            2.81
33.22            30.13            44.36            2.73
33.63            30.08            44.36            2.79
34.03            30.47            44.39            2.79
34.44            30.32            44.37            2.68
34.85            30.13            44.36            2.84
35.25            30.13            45.46            2.83
35.66            30.62            45.47            2.83
36.07            30.32            45.32            2.80
36.47            30.13            45.30            2.79
36.88            30.37            45.35            2.82
37.28            30.18            45.40            2.84
37.69            30.37            45.38            2.87
38.10            30.37            45.36            2.94
38.50            30.08            45.38            2.91
38.91            30.42            45.36            2.83
39.32            30.32            45.37            2.77
39.72            30.18            46.32            3.59
40.13            30.18            46.39            2.82
40.54            30.08            46.25            2.79
40.94            30.18            46.29            2.75
41.35            30.22            46.32            2.90
41.75            30.03            46.29            2.91
42.16            30.22            46.30            2.84
42.57            30.22            46.31            2.85
42.97            30.22            46.33            2.79
43.38            30.37            46.31            2.71
43.79            30.42            46.30            2.71
44.19            30.13            46.32            2.72
44.60            30.42            46.34            2.85
45.01            30.32            46.34            2.85
45.41            30.42            47.39            2.82
45.82            30.32            47.26            2.72
46.23            30.03            47.27            2.72
46.63            30.13            47.27            2.84
47.04            30.37            47.27            2.87
47.44            30.27            47.25            2.87
47.85            30.22            47.27            2.89
48.26            30.27            47.26            2.82
48.66            29.88            47.30            2.84
51.09            30.03            48.26            2.91
54.52            30.18            49.32            2.60
54.93            30.37            49.32            2.85
55.33            30.08            49.31            2.54
55.74            30.22            49.32            2.76
56.15            30.37            49.32            2.66
56.55            30.18            49.33            2.52
56.96            30.08            49.32            2.52
57.37            29.98            49.33            2.49
59.80            30.22            49.24            2.82
63.23            30.18            49.29            2.83
63.63            30.42            49.33            2.51
64.04            29.93            49.33            2.63
66.47            29.88            49.24            2.69
66.87            29.93            49.28            2.56
67.28            29.98            49.25            2.62
67.69            29.69            49.25            2.65
68.09            30.03            49.24            2.58
71.52            30.27            50.28            2.70
71.93            30.03            50.29            2.97
72.34            30.03            50.31            2.90
72.74            30.42            50.30            2.58
73.15            30.08            50.31            2.46
73.55            30.03            50.31            2.55
73.96            30.08            50.33            2.45
74.37            29.98            50.29            2.53
76.80            30.03            50.24            2.64
80.23            30.13            51.27            2.74
80.63            30.22            51.25            2.74
81.04            30.27            51.28            2.52
81.45            29.98            51.31            2.47
83.88            29.79            51.18            2.48
84.28            29.98            52.21            2.75
84.69            29.98            52.22            2.55
85.09            29.54            52.11            2.53
85.50            29.93            52.14            2.48
85.91            29.93            52.14            2.50
86.31            29.69            52.20            2.46
86.72            29.98            52.17            2.43
87.13            30.18            52.13            2.47
90.56            29.93            52.28            2.65
92.99            30.13            52.16            2.61
96.41            29.93            53.20            5.71
98.84            29.88            53.10            5.80
99.25            30.18            53.17            5.52
102.68            29.74            53.26            5.76
105.11            30.08            53.14            5.95
108.54            29.88            53.25            6.18
110.97            30.18            53.17            5.86
114.40            30.32            54.17            17.98
114.81            29.98            54.21            18.02
117.24            30.08            54.04            18.44
120.67            30.18            54.28            18.00
121.07            29.98            54.27            18.37
123.50            30.37            55.05            34.34
126.93            30.13            55.17            34.62
127.34            29.98            55.19            34.49
129.77            30.03            55.11            34.40
133.20            29.98            56.18            40.24
135.63            30.03            56.08            40.16
139.06            30.27            56.18            40.23
139.46            30.32            56.20            40.23
139.87            30.42            56.16            40.22
140.28            29.98            56.19            40.23
142.70            30.27            57.07            40.12
146.14            30.08            57.15            40.21
146.54            30.27            57.16            40.21
146.95            30.57            57.13            40.20
147.35            30.22            57.15            40.20
147.76            30.32            57.16            40.21
148.17            30.42            57.16            40.19
148.57            30.03            57.16            40.21
148.98            30.37            57.15            40.20
149.39            30.47            57.15            40.21
149.79            30.22            57.13            40.20
150.20            30.37            57.16            40.20
150.61            30.27            57.15            40.21
151.01            30.13            57.17            40.21
151.42            30.42            57.14            40.20
151.83            30.13            57.14            40.20
152.23            30.32            57.17            40.21
152.64            30.42            57.18            40.21
153.05            30.47            57.14            40.21
153.45            30.42            57.29            40.20
153.86            30.13            58.20            40.20
154.27            30.37            58.19            40.18
154.67            30.32            58.10            40.21
155.08            30.27            58.09            40.20
155.49            30.32            58.11            40.21
155.89            30.18            58.08            40.19
156.30            30.37            58.11            40.21
156.70            30.32            58.11            40.21
157.11            30.18            58.09            40.20
157.52            30.47            58.07            40.21
157.92            30.47            58.09            40.19
158.33            30.13            58.12            40.19
158.74            30.47            58.12            40.19
159.14            30.37            58.11            40.20
159.55            30.66            58.12            40.21
159.96            30.42            58.11            40.20
160.36            30.32            58.10            40.19
160.77            30.18            58.09            40.19
161.18            30.18            58.13            40.20
161.58            30.32            58.12            40.20
161.99            30.62            58.10            40.21
162.40            30.42            58.11            40.21
162.80            30.66            58.12            40.19
163.21            30.47            58.13            40.18
163.61            30.32            58.12            40.19
164.02            30.37            58.11            40.21
164.43            30.37            58.10            40.20
164.83            30.47            58.13            40.19
165.24            30.27            58.11            40.20
165.65            30.37            59.14            40.19
166.05            30.47            59.09            40.20
166.46            30.71            59.12            40.18
166.87            29.93            59.11            40.19
169.30            30.13            58.98            40.11
172.73            30.32            59.11            40.19
173.13            30.71            59.12            40.18
