Tiempo (s)  Temperatura (C)  Voltaje HV (V)   Corriente SiPM
0.10            0.10            41.38            0.50
1.52            0.15            41.46            2.28
1.93            0.10            41.47            0.98
2.33            0.24            41.42            4.58
2.74            0.15            41.59            1.60
3.15            0.15            41.37            0.20
3.55            0.15            41.38            2.22
3.96            0.20            41.39            2.06
4.36            0.10            41.42            1.91
4.77            0.10            41.44            1.46
5.18            0.10            41.42            5.10
5.58            0.05            41.41            2.48
5.99            0.10            41.43            0.82
6.39            0.00            41.43            2.74
8.82            0.15            41.40            7.30
12.25            0.15            41.51            2.31
12.66            0.10            41.49            1.57
13.06            0.15            41.52            1.05
13.47            0.20            41.60            2.19
13.88            0.15            41.69            1.90
14.28            0.10            41.48            3.36
14.69            0.10            41.57            2.29
15.09            0.20            41.56            3.62
15.50            0.05            41.52            2.33
15.91            0.24            41.58            1.94
16.31            0.00            41.52            1.84
18.74            0.15            41.47            6.83
22.17            0.20            42.07            1.33
22.58            0.20            42.06            2.41
22.98            0.10            42.02            1.38
23.39            0.20            42.07            2.40
23.79            0.15            42.06            2.24
24.20            0.00            42.01            3.16
26.63            0.15            42.37            2.39
30.06            0.10            42.53            1.65
30.46            0.00            42.54            1.98
32.89            0.10            42.90            0.67
36.32            0.00            43.60            2.39
38.75            0.05            43.43            4.91
42.18            0.15            43.48            0.57
42.59            0.15            43.55            1.88
42.99            0.20            43.53            1.48
43.40            0.10            43.45            1.87
43.80            0.20            43.56            2.08
44.21            0.00            43.48            2.12
46.64            0.20            43.45            7.34
50.07            0.20            43.91            1.78
50.48            0.24            44.00            1.13
50.88            0.05            43.96            0.85
51.29            0.10            43.92            2.10
51.69            0.10            43.97            2.10
52.10            0.10            44.01            1.60
52.51            0.05            44.00            1.26
52.91            0.20            43.95            2.67
53.32            0.05            44.52            2.61
53.72            0.15            44.53            2.20
54.13            0.34            44.42            1.77
54.54            0.10            44.44            2.14
54.94            0.00            44.44            3.22
57.37            0.15            44.40            6.63
60.80            0.10            44.94            1.86
61.21            0.15            44.97            2.12
61.61            0.10            44.96            1.79
62.02            0.10            44.94            2.28
62.42            0.15            45.52            2.08
62.83            0.05            45.60            2.46
63.24            0.10            45.42            2.08
63.64            0.15            45.42            1.90
64.05            0.10            45.45            1.70
64.45            0.20            45.44            2.09
64.86            0.05            45.48            1.72
65.26            0.10            45.40            1.96
65.67            0.10            45.41            3.12
66.08            0.10            45.44            1.06
66.48            0.10            45.45            1.09
66.89            0.15            45.41            1.79
67.30            0.05            45.45            2.84
67.70            0.05            46.03            3.24
68.11            0.00            45.88            3.19
70.54            0.10            45.82            4.50
73.97            0.10            46.29            2.23
74.37            0.10            46.35            1.77
74.78            0.00            46.47            2.16
77.21            0.20            46.33            7.04
80.64            0.20            46.96            2.03
81.04            0.10            46.92            1.97
81.45            0.15            46.95            1.25
81.85            0.20            46.84            1.60
82.26            0.00            46.95            2.02
84.69            0.20            47.42            6.56
88.12            0.05            47.37            2.11
88.52            0.15            47.39            1.64
88.93            0.15            47.34            1.20
89.34            0.20            47.39            1.97
89.74            0.15            47.38            2.08
90.15            0.24            47.38            2.23
90.56            0.05            47.34            1.96
90.96            0.05            47.39            1.55
91.37            0.15            48.04            1.82
91.77            0.15            47.92            1.84
92.18            0.00            47.87            2.04
