Tiempo (s)  Temperatura (C)  Voltaje HV (V)   Corriente SiPM
0.10            20.26            41.40            0.97
1.52            20.07            41.39            1.10
1.93            20.41            41.44            1.79
2.33            20.31            41.39            0.33
2.74            19.92            41.40            1.47
5.17            20.36            41.44            5.90
8.60            20.07            41.50            0.94
9.01            20.26            41.52            1.22
9.41            20.41            41.49            1.48
9.82            20.31            41.49            1.51
10.23            20.02            41.46            1.01
10.63            20.17            41.47            1.24
11.04            19.97            41.46            1.08
13.47            20.12            41.59            4.87
16.90            20.21            41.49            0.97
17.30            20.31            41.56            1.04
17.71            20.51            41.56            1.20
18.12            20.36            41.53            1.38
18.52            20.21            41.53            1.01
18.93            20.36            41.52            1.13
19.34            20.21            41.52            0.86
19.74            20.12            41.52            0.79
20.15            20.26            41.56            0.80
20.55            20.46            41.50            0.87
20.96            20.12            41.51            0.85
21.37            20.41            41.49            1.13
21.77            20.31            42.14            1.12
22.18            20.51            41.94            0.84
22.59            20.31            41.97            1.28
22.99            20.41            42.00            1.08
23.40            20.65            41.96            1.12
23.80            20.31            42.01            1.16
24.21            20.31            42.02            1.00
24.62            20.46            42.02            1.33
25.03            20.41            41.97            1.25
25.43            20.41            42.02            1.06
25.84            20.17            42.00            0.89
26.24            20.46            42.00            1.15
26.65            20.12            42.04            0.81
27.06            20.51            42.00            1.42
27.46            20.31            42.02            0.69
27.87            20.17            42.01            0.92
28.28            20.46            42.02            0.44
28.68            20.26            42.03            0.55
29.09            20.56            42.55            1.37
29.50            20.21            42.63            1.30
29.90            20.17            42.46            0.90
30.31            20.61            42.47            0.85
30.71            20.26            42.48            0.69
31.12            20.07            42.49            0.59
31.53            20.56            42.50            0.63
31.93            20.46            42.49            0.87
32.34            20.31            42.50            0.62
32.75            20.26            43.15            0.74
33.15            20.12            42.92            1.02
33.56            20.56            42.93            0.83
33.97            20.41            42.92            1.63
34.37            20.31            42.97            1.23
34.78            20.41            42.93            0.54
35.18            20.17            42.97            0.34
35.59            20.21            42.99            1.36
36.00            20.41            42.99            0.67
36.40            20.51            42.97            0.99
36.81            20.21            42.99            0.86
37.22            20.31            42.97            0.76
37.62            20.26            43.56            1.12
38.03            20.26            43.51            0.85
38.44            20.61            43.42            1.54
38.84            20.26            43.45            1.05
39.25            20.46            43.44            0.37
39.66            20.17            43.41            0.85
40.06            20.26            43.47            0.83
40.47            20.36            43.48            0.91
40.88            20.36            43.43            0.79
41.28            20.17            43.49            1.08
41.69            20.26            43.46            1.42
42.09            20.31            43.43            1.54
42.50            20.36            43.50            0.86
42.91            20.36            44.10            1.18
43.31            20.31            44.12            1.25
43.72            20.17            43.90            1.68
44.13            20.17            43.93            1.05
44.53            20.56            43.93            1.03
44.94            20.46            43.91            0.78
45.34            20.36            43.94            0.61
45.75            20.17            43.93            0.44
46.16            19.92            43.96            0.66
48.59            20.02            44.36            7.21
52.02            20.46            44.42            1.64
