x <T> <P>
31.3 902.06 970
31.3 902.01 970
31.3 902.04 970
31.3 902.07 970
31.3 902.04 970
31.3 902.29 968
31.3 902.04 970
31.3 902.07 970
31.3 902.04 970
31.3 902.19 969
31.3 902.11 969
31.3 902.14 969
31.3 902.25 968
31.3 902.09 970
31.3 902.06 970
31.3 901.97 971
31.3 902.07 970
31.3 902.11 969
31.3 902.06 970
31.3 901.96 971
31.3 902.11 969
31.3 902.06 970
31.3 901.89 971
31.3 902.07 970
31.3 902.20 969
31.3 902.12 969
31.3 902.10 969
31.3 902.15 969
31.3 902.14 969
31.3 902.10 969
31.3 902.24 968
31.3 902.14 969
31.3 902.12 969
31.3 902.11 969
31.3 902.02 970
31.3 902.04 970
31.3 902.06 970
31.3 902.23 968
31.3 902.15 969
31.3 902.23 968
31.3 902.04 970
31.3 902.04 970
31.3 902.12 969
31.3 902.17 969
31.3 902.06 970
31.3 901.99 970
31.3 902.07 970
31.3 902.10 969
31.3 902.09 970
31.3 902.10 969
31.3 902.04 970
31.3 902.22 968
31.3 902.06 970
31.3 902.07 970
31.3 902.02 970
31.3 902.17 969
31.3 902.04 970
31.3 902.04 970
31.3 902.10 969
31.3 902.04 970
31.3 902.14 969
31.3 902.17 969
31.3 902.06 970
31.3 902.01 970
31.3 902.17 969
31.3 902.14 969
31.3 902.04 970
31.3 902.14 969
31.3 902.20 969
31.3 902.04 970
31.3 902.07 970
31.3 902.10 969
31.3 902.11 969
31.3 902.04 970
31.3 902.23 968
31.3 902.06 970
31.3 902.10 969
31.2 902.24 968
31.2 902.12 969
31.2 902.15 969
31.2 902.15 969
31.2 902.06 970
31.2 902.35 967
31.2 902.40 967
31.2 902.17 969
31.2 902.51 966
31.2 902.48 966
31.2 902.28 968
31.2 902.50 966
31.2 902.46 966
31.2 902.53 966
31.2 902.56 965
31.2 902.50 966
31.2 902.51 966
31.2 902.50 966
31.2 902.53 966
31.2 902.30 968
31.2 902.19 969
31.2 902.15 969
31.2 902.14 969
31.2 902.48 966
31.2 902.49 966
31.2 902.49 966
31.2 902.51 966
31.2 902.28 968
31.2 902.40 967
31.2 902.58 965
31.2 902.17 969
31.2 902.32 968
31.2 902.59 965
31.2 902.54 965
31.2 902.19 969
31.2 902.17 969
31.2 902.23 968
31.2 902.27 968
31.2 902.19 969
31.2 902.25 968
31.2 902.19 969
31.2 902.20 969
31.2 902.54 965
31.2 902.53 966
31.2 902.51 966
31.2 902.28 968
31.2 902.58 965
31.2 902.49 966
31.2 902.27 968
31.2 902.37 967
31.2 902.28 968
31.2 902.24 968
31.2 902.24 968
31.2 902.20 969
31.2 902.30 968
31.2 902.27 968
31.2 902.15 969
31.2 902.24 968
31.2 902.17 969
31.2 902.48 966
31.2 902.50 966
31.2 902.19 969
31.2 902.50 966
31.2 902.33 967
31.2 902.22 968
31.2 902.51 966
31.2 902.30 968
31.2 902.25 968
31.2 902.56 965
31.2 902.56 965
31.2 902.56 965
31.2 902.59 965
31.2 902.54 965
31.2 902.53 966
31.2 902.53 966
31.2 902.28 968
31.2 902.20 969
31.2 902.17 969
31.2 902.27 968
31.2 902.30 968
31.2 902.28 968
31.2 902.28 968
31.2 902.19 969
31.2 902.33 967
31.2 902.35 967
31.2 902.30 968
31.2 902.59 965
31.2 902.49 966
31.2 902.17 969
31.2 902.50 966
31.2 902.51 966
31.2 902.30 968
31.2 902.27 968
31.2 902.30 968
31.2 902.25 968
31.2 902.20 969
31.2 902.20 969
31.2 902.56 965
31.2 902.59 965
31.2 902.53 966
31.2 902.56 965
31.2 902.59 965
31.2 902.20 969
31.2 902.53 966
31.2 902.40 967
31.2 902.22 968
31.2 902.28 968
31.2 902.58 965
31.2 902.27 968
31.2 902.56 965
31.2 902.38 967
31.2 902.58 965
31.2 902.19 969
31.2 902.30 968
31.2 902.30 968
31.2 902.27 968
31.2 902.48 966
31.2 902.40 967
31.2 902.35 967
31.2 902.51 966
31.2 902.53 966
31.2 902.51 966
31.2 902.59 965
31.2 902.24 968
31.2 902.20 969
31.2 902.24 968
31.2 902.27 968
31.2 902.35 967
31.2 902.33 967
31.2 902.27 968
31.2 902.17 969
31.2 902.33 967
31.2 902.53 966
31.2 902.46 966
31.2 902.45 966
31.2 902.35 967
31.2 902.37 967
31.2 902.24 968
31.2 902.27 968
31.2 902.15 969
31.2 902.24 968
31.2 902.53 966
31.2 902.50 966
31.2 902.30 968
31.2 902.50 966
31.2 902.24 968
31.2 902.25 968
31.2 902.33 967
31.2 902.22 968
31.2 902.28 968
31.2 902.22 968
31.2 902.36 967
31.2 902.33 967
31.2 902.40 967
31.2 902.48 966
31.2 902.30 968
31.2 902.53 966
31.2 902.25 968
31.2 902.20 969
