# 1553302800
# 1553302801
9005130 2206
17366244 2676
# 1553302802
# 1553302803
# 1553302804
# 1553302804
12361635 1154
27774384 114
# 1553302806
4676835 2695
15547262 2710
# 1553302807
# 1553302808
14572249 301
# 1553302809
6481148 3587
# 1553302810
2544796 442
# 1553302811
6851643 2221
14790123 2951
# 1553302812
# 1553302813
3322925 776
# 1553302814
4604545 421
# 1553302815
# 1553302816
14174460 4116
29385631 207
# 1553302817
27414126 4067
# 1553302818
37227585 228
# 1553302819
25037208 2458
38415945 461
# 1553302820
# 1553302821
22920979 279
# 1553302822
# 1553302823
# 1553302824
# 1553302825
3604370 382
# 1553302826
# 1553302827
13420745 2212
27758980 2185
# 1553302828
32270437 300
# 1553302829
11890045 3883
27855779 2057
# 1553302830
# 1553302831
# 1553302832
31921858 3373
# 1553302832
3873158 132
# 1553302834
# 1553302835
# 1553302836
15769529 1348
29610863 878
# 1553302836
6437865 3010
38566778 305
# 1553302838
957303 389
7560797 319
28077766 2801
# 1553302839
# 1553302840
37826711 3764
# 1553302841
30361743 2673
# 1553302842
26242045 123
# 1553302843
1091352 510
33339562 3539
# 1553302844
2125675 1641
# 1553302845
# 1553302846
2821820 670
# 1553302847
23139438 1126
# 1553302848
11599965 3270
# 1553302849
31934863 2978
33558878 2346
# 1553302850
# 1553302851
# 1553302852
# 1553302853
15055278 6135
# 1553302854
760637 201
# 1553302855
7806699 2145
# 1553302856
4738241 2196
11091470 3523
# 1553302857
19557647 970
22776926 186
27349331 1205
31936203 2101
38934554 1916
# 1553302858
# 1553302859
# 1553302860
491177 1586
# 1553302861
# 1553302862
# 1553302863
# 1553302864
# 1553302865
# 1553302866
14690706 3979
20596975 2803
# 1553302867
3591318 603
# 1553302868
32912 3468
# 1553302868
11419258 2452
16509914 3303
34860949 814
37362766 628
# 1553302870
22456328 328
# 1553302871
24505593 461
# 1553302872
# 1553302873
14010000 675
33537103 1182
# 1553302874
15523215 3733
30149292 492
# 1553302875
1977263 187
9370151 452
22430204 3038
# 1553302876
23419536 443
# 1553302877
9721326 3672
18133179 2671
31550334 2766
# 1553302878
17305518 357
# 1553302879
# 1553302880
5213321 142
# 1553302880
# 1553302882
20892985 3199
25252009 3511
# 1553302883
# 1553302884
18704878 7209
# 1553302885
# 1553302886
20165952 2652
# 1553302887
34283090 448
# 1553302888
# 1553302889
16264097 252
# 1553302890
3718354 3740
# 1553302891
# 1553302892
32885337 580
# 1553302893
# 1553302894
# 1553302895
39725398 374
# 1553302896
# 1553302897
# 1553302898
7659198 2054
23287938 2777
# 1553302899
# 1553302900
# 1553302901
13217061 724
25682501 2868
# 1553302902
31495976 330
# 1553302903
15223787 2767
# 1553302904
10308566 893
# 1553302905
# 1553302906
21340685 3348
# 1553302907
1022018 4415
# 1553302908
5518973 3525
29866105 200
# 1553302909
15174072 305
28434455 3540
30960585 1875
# 1553302910
30047962 807
# 1553302911
16843376 1265
# 1553302912
38747096 3622
# 1553302913
308658 3818
17177082 3017
# 1553302914
23927536 2665
27233133 2666
# 1553302915
10410202 489
13750242 5256
# 1553302915
3367515 4700
12585946 1174
24895391 3185
# 1553302917
# 1553302918
11585771 4521
25257468 607
28539283 620
# 1553302919
8277827 326
# 1553302920
# 1553302921
20549490 483
# 1553302922
34510957 3769
# 1553302923
12586718 2461
# 1553302924
37930491 4228
# 1553302925
28486030 268
# 1553302926
7307191 1791
8753437 2768
29816952 2361
# 1553302926
# 1553302928
23543386 2462
# 1553302929
# 1553302930
8751401 2864
35934956 133
# 1553302931
3673031 277
15243554 2659
# 1553302932
# 1553302933
# 1553302934
12617467 1532
37326402 3311
# 1553302935
21287464 357
# 1553302936
# 1553302937
# 1553302938
32415455 606
# 1553302939
# 1553302940
26651924 307
# 1553302941
5830927 3910
12849841 1744
# 1553302942
9452798 2559
29597882 3400
# 1553302943
1710345 2871
# 1553302944
# 1553302945
27415634 226
30219199 230
# 1553302946
26082029 3741
# 1553302947
9792098 240
# 1553302948
# 1553302949
12454129 3053
26486057 2345
# 1553302949
17348788 118
17996407 4997
# 1553302951
# 1553302952
8224225 235
# 1553302953
8509679 2690
35092245 158
# 1553302954
26269075 2583
# 1553302955
5176782 649
26143754 494
# 1553302956
18113279 3414
# 1553302957
# 1553302958
17174390 195
# 1553302959
4667357 4084
# 1553302960
# 1553302961
1908088 3113
# 1553302962
3948036 137
6823364 440
36580741 3473
# 1553302963
32005376 113
# 1553302964
# 1553302965
27639230 637
# 1553302966
# 1553302967
20684235 2736
23383386 3312
# 1553302968
8133962 340
# 1553302969
30072233 1391
33931033 321
# 1553302970
# 1553302971
15800299 554
26840977 509
39845492 6438
# 1553302972
# 1553302973
9411086 148
19889994 3355
21670738 98
# 1553302974
# 1553302975
16734473 3972
29370433 3688
31750794 2974
# 1553302976
20298647 199
# 1553302977
38366414 663
# 1553302978
637572 209
# 1553302979
4123134 1224
# 1553302980
# 1553302981
28810238 2579
# 1553302982
28767547 449
# 1553302983
# 1553302984
8504049 2961
14829460 694
23286936 341
# 1553302985
27953272 1108
# 1553302986
18035176 887
# 1553302987
34359976 299
# 1553302988
8216015 6798
39524947 3743
# 1553302989
3356861 225
30408242 276
# 1553302990
24640303 4412
# 1553302991
# 1553302992
16098566 130
30030896 178
# 1553302993
# 1553302993
2184783 359
37363621 544
# 1553302994
24861536 502
# 1553302995
17088642 3242
# 1553302996
21281806 2553
22920206 4934
# 1553302997
20459362 261
# 1553302998
# 1553302999
4722062 340
20197484 94
# 1553303000
# 1553303001
# 1553303002
18783001 505
28810441 619
39790995 3061
# 1553303003
# 1553303004
24239234 182
# 1553303005
1841716 2155
16584205 398
26321047 748
# 1553303006
8208193 137
# 1553303007
547083 2747
6397987 657
# 1553303008
14179489 1028
36306190 487
# 1553303009
13073839 2022
# 1553303010
26480825 6044
# 1553303011
26543686 2390
# 1553303012
34827390 4775
# 1553303013
# 1553303014
# 1553303015
# 1553303016
# 1553303017
# 1553303018
# 1553303019
# 1553303020
28558975 5043
# 1553303021
# 1553303022
# 1553303023
# 1553303024
# 1553303025
# 1553303026
29631931 3246
39863420 1632
# 1553303027
37958303 3161
# 1553303028
19117556 3137
37982696 2040
# 1553303029
662998 437
24395087 5511
# 1553303030
# 1553303031
# 1553303032
10022765 477
18554293 380
20762459 427
# 1553303033
24339360 1348
# 1553303034
32299082 2753
# 1553303035
1312391 1217
34365008 472
# 1553303036
17399135 3895
# 1553303037
1359076 4282
# 1553303038
15715871 4103
19348110 596
# 1553303039
27168359 4500
# 1553303040
10104109 583
# 1553303041
# 1553303042
# 1553303043
# 1553303044
# 1553303045
15477856 1019
# 1553303046
10590961 1455
13028838 1748
17196748 3198
# 1553303047
4786430 758
10029985 145
# 1553303048
# 1553303049
# 1553303050
# 1553303051
2159561 1843
8703156 3214
15497539 3604
21327406 1124
# 1553303052
6565413 143
# 1553303053
# 1553303054
# 1553303054
37827555 3484
# 1553303056
19904701 4387
# 1553303057
14862346 403
# 1553303058
9840810 2825
30474886 446
# 1553303059
921353 946
18055201 2705
# 1553303060
6569092 409
17804763 333
# 1553303061
# 1553303062
# 1553303063
28412287 107
39435088 2609
# 1553303064
# 1553303065
19516340 4751
# 1553303066
21630859 753
30002616 125
# 1553303067
37052856 3799
# 1553303068
# 1553303069
# 1553303070
986624 896
# 1553303071
3931930 3727
# 1553303072
17570765 5760
26286066 4190
# 1553303073
24503842 667
# 1553303074
# 1553303075
# 1553303076
# 1553303077
# 1553303077
17697210 93
30469161 1007
# 1553303079
# 1553303080
# 1553303081
# 1553303082
11157500 2682
17510146 448
22732781 2436
# 1553303082
29526426 543
# 1553303084
3486266 3967
# 1553303085
17492298 2660
29043382 5395
# 1553303086
32398928 308
# 1553303086
12573292 2331
# 1553303088
27786957 3546
37710995 1685
# 1553303089
# 1553303090
24111725 2402
38141279 2495
# 1553303091
3601317 1908
36797259 2918
# 1553303092
28660728 94
# 1553303093
15822362 209
27588189 2952
# 1553303094
20691114 322
# 1553303095
3849710 211
# 1553303095
8662481 1648
# 1553303097
11819132 1507
37738803 5265
# 1553303098
10483878 217
14936409 312
25115455 3851
# 1553303099
# 1553303100
13297725 2285
36072639 2939
39900778 4139
# 1553303100
# 1553303102
# 1553303103
3374009 443
# 1553303104
34566026 413
# 1553303104
# 1553303106
11082527 841
# 1553303107
# 1553303108
# 1553303109
23968434 138
# 1553303110
# 1553303111
# 1553303112
# 1553303113
# 1553303113
# 1553303114
# 1553303116
25951289 4272
# 1553303117
# 1553303118
# 1553303119
11255156 3723
# 1553303119
15416220 1435
27340808 4193
36563074 1100
# 1553303121
# 1553303122
1601361 3423
30961027 660
# 1553303123
# 1553303124
# 1553303125
21772864 3110
28172178 2402
32691587 884
# 1553303126
16915664 923
# 1553303127
19438836 329
# 1553303128
6909042 2481
8104377 3251
# 1553303129
5082485 193
# 1553303130
1783822 3353
7995163 3684
20958544 4281
# 1553303131
16892474 1959
32827946 2337
# 1553303132
585223 3959
4311605 4016
17334201 664
# 1553303133
25419898 1206
# 1553303134
30877124 1164
# 1553303135
6615693 3185
# 1553303136
# 1553303137
21457234 333
# 1553303138
16395154 3690
30586743 2534
# 1553303139
# 1553303140
# 1553303141
# 1553303142
# 1553303143
15182699 1438
27619869 3283
# 1553303144
13556136 396
28332791 3866
# 1553303145
# 1553303146
3882115 286
17087194 2324
22470524 4277
27990191 2367
36182113 2686
# 1553303147
7079979 543
# 1553303148
# 1553303149
# 1553303150
# 1553303151
14179438 3138
# 1553303151
34127482 2176
37173245 2644
# 1553303153
16157129 3305
# 1553303154
34656965 1156
# 1553303155
1855006 7532
12050313 4245
# 1553303156
29383081 4362
# 1553303156
38125924 3312
# 1553303158
580598 2960
19528575 4300
# 1553303159
# 1553303160
# 1553303161
21802219 2972
29174271 2499
# 1553303161
37350974 2298
# 1553303163
24357567 2761
36200317 292
# 1553303164
4613562 1216
# 1553303165
21450468 282
32349971 615
# 1553303166
2363846 699
# 1553303167
# 1553303168
# 1553303169
26234909 3955
# 1553303170
6946536 1933
13199998 2447
# 1553303171
37790725 850
38788553 452
# 1553303172
6008816 828
# 1553303173
1250539 2939
# 1553303174
30606656 4685
# 1553303175
# 1553303176
# 1553303177
# 1553303178
9717112 2721
39336097 150
# 1553303179
# 1553303180
# 1553303181
25478051 2495
34673421 7461
# 1553303182
34447289 198
# 1553303182
# 1553303184
2747270 763
# 1553303185
18361021 1168
# 1553303186
# 1553303187
17137639 1096
# 1553303188
10918009 2815
# 1553303189
17541440 295
37710794 1860
# 1553303190
16727947 388
# 1553303191
30297503 3426
38337959 3729
# 1553303192
10583882 353
# 1553303193
19585066 2655
# 1553303194
6131661 1131
22388266 1507
28290127 3819
# 1553303195
4528910 3315
# 1553303196
14555244 844
28989839 2293
33422529 2785
33987884 2703
# 1553303197
294889 3572
20934027 325
# 1553303198
25545419 3579
28138636 3793
# 1553303199
# 1553303200
# 1553303201
17381453 1180
# 1553303202
# 1553303203
16267644 1888
# 1553303204
# 1553303204
9154396 513
17776089 1688
21851228 99
# 1553303205
# 1553303206
30679307 5055
# 1553303207
9554790 424
30001950 620
39577966 3995
# 1553303208
30935107 310
# 1553303209
# 1553303210
# 1553303211
# 1553303211
892904 917
32374023 2985
# 1553303212
# 1553303213
15478759 3399
17803423 3682
# 1553303214
25111480 2552
# 1553303215
# 1553303215
5102642 4037
18569459 722
20633875 1532
36913945 121
# 1553303217
# 1553303218
30470257 363
# 1553303219
13164370 174
# 1553303220
# 1553303221
# 1553303222
22543013 356
25261449 432
# 1553303223
1405018 1737
# 1553303224
18540879 3763
# 1553303225
# 1553303226
# 1553303227
18607092 2195
# 1553303228
# 1553303229
34360303 3196
# 1553303230
# 1553303231
29380434 205
35698655 659
# 1553303232
11417656 1174
23104280 3417
# 1553303233
# 1553303234
11099951 2616
21164140 1954
29532860 1637
# 1553303235
322592 4451
4017754 810
# 1553303236
# 1553303237
18376986 2696
23898719 1211
25653378 6771
# 1553303238
# 1553303239
37529788 2789
# 1553303240
# 1553303241
# 1553303242
# 1553303243
4934085 514
6094272 839
26388178 1689
# 1553303244
# 1553303244
27060398 2926
# 1553303246
# 1553303247
# 1553303248
# 1553303248
35512312 1393
# 1553303250
# 1553303251
38431115 1949
# 1553303252
28273563 432
# 1553303252
12360015 2405
34664853 1594
# 1553303254
# 1553303255
23710270 448
33273886 477
# 1553303256
16419048 3403
# 1553303257
28199705 2167
# 1553303257
9441304 2995
# 1553303259
5771134 144
7126869 3360
27053510 341
32422178 2166
# 1553303260
# 1553303261
37447950 1697
# 1553303262
# 1553303263
# 1553303264
26024325 368
38522675 4454
# 1553303265
21008762 3098
# 1553303266
21835375 3673
# 1553303267
# 1553303267
22394541 287
# 1553303268
31989107 5203
# 1553303269
# 1553303270
# 1553303271
# 1553303272
# 1553303272
32374494 2241
# 1553303274
# 1553303275
14417718 2235
26362771 541
34906253 119
38280205 638
# 1553303276
# 1553303277
15206509 715
# 1553303278
# 1553303278
6551177 2444
# 1553303279
# 1553303279
14675356 315
33144235 2735
# 1553303280
27299490 816
29617364 259
32754032 503
# 1553303281
16570861 2666
# 1553303282
27589508 143
# 1553303283
# 1553303284
# 1553303285
16650219 1911
26532234 143
# 1553303286
# 1553303287
# 1553303287
7326170 339
11070075 2083
# 1553303288
2087840 713
28968980 3781
# 1553303289
13798597 1000
18226394 1157
# 1553303290
37015574 185
# 1553303291
# 1553303291
9263652 228
10460872 730
# 1553303292
# 1553303292
14298964 897
38537417 538
# 1553303293
25857180 3904
35354879 3545
# 1553303294
# 1553303294
# 1553303295
# 1553303295
24533596 2881
# 1553303296
# 1553303297
# 1553303298
1117256 451
2759304 355
35314918 2839
# 1553303299
# 1553303299
26339767 464
# 1553303300
38976637 601
# 1553303301
# 1553303301
8994301 173
37035797 2303
# 1553303302
# 1553303303
# 1553303303
# 1553303304
# 1553303304
27264720 2505
# 1553303305
# 1553303306
# 1553303306
# 1553303307
# 1553303307
29047491 330
36446115 3484
# 1553303308
# 1553303308
# 1553303309
# 1553303309
34564812 1823
# 1553303310
# 1553303310
35000794 611
# 1553303311
14317947 1353
# 1553303312
# 1553303313
# 1553303314
# 1553303315
# 1553303315
2022637 2730
# 1553303316
16858552 2555
37358921 3671
# 1553303317
# 1553303317
# 1553303318
# 1553303318
32131824 409
# 1553303319
# 1553303319
22038687 1356
# 1553303320
# 1553303320
9227368 151
# 1553303321
# 1553303322
# 1553303322
36223353 3683
# 1553303323
# 1553303323
# 1553303324
# 1553303324
# 1553303325
# 1553303325
13348767 404
# 1553303326
# 1553303326
1233075 4191
# 1553303327
# 1553303327
9998068 170
31959567 5393
35887030 3769
# 1553303328
# 1553303328
# 1553303329
# 1553303329
9923811 1692
# 1553303330
# 1553303330
# 1553303331
35420310 209
# 1553303332
# 1553303332
# 1553303333
# 1553303334
# 1553303334
# 1553303335
# 1553303335
# 1553303336
# 1553303336
# 1553303337
# 1553303337
# 1553303338
# 1553303338
9988726 1951
# 1553303339
# 1553303339
18774452 2991
27486445 3175
# 1553303340
19190258 374
