# s 1550970002
# r 2
0	1626247   	9	400.0	0000000100000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000001000000000000000000000
# s 1550970003
# r 2
# s 1550970004
# r 3
0	78856769   	235	400.0	0000010000000000000000000000000000000000000000000000000000000000	0000000000000000000001000000000000000000000000000000000000000000
# s 1550970005
# r 13
0	11011813   	31	400.0	0100000000000000000000000000000000000000000000000000000000000000	0000000010111000000000000000000000000000000000000000000000000000
1	13020794   	36	400.0	0000000000000000000000000000000001000000000000000000000000000000	0000000000000000000000001000001101100000000000000010111111111111
2	19707627   	55	400.0	0000000000000000000000000000000000000000000000000000100000000000	1111111000100000000000000000000000000000000000000000000000000000
3	42809614   	122	400.0	0000010000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000001000000000
4	46239518   	132	400.0	0000000000000000000000000100000000000000000000000000000000000000	0000000000001000000000000000000000000000000000000000000000000000
5	54254017   	154	400.0	0000000000000000000000000100000000000000000000000000000100000000	0000000000000000000000000100000000000000000000000000000000000000
6	70669725   	202	400.0	0000000001000000000000000000000000000000010000000000000000000000	0000000000000100000000000000000000000001000000000000000000000000
7	98875498   	284	400.0	0000001000000000000000000000000000000000001000000000000000000000	0000000000000000000000000000000000000000000100000000000000000000
# s 1550970006
# r 3
# s 1550970007
# r 5
0	29469319   	85	400.0	0000000000000000000000000000000000000000000000000000000000010000	0000000000000000000000000000000000000000000000010000000000000000
1	53041512   	18	400.0	0000000000000000000000000000000000000000000000000000001000000000	0000000000000000000000000000000000000100000000000000000000000000
2	60633662   	58	400.0	0000000000000000000001000000000000000000000000000000000000000000	0010000000000000000000000000000000000000000000000000000000000000
# s 1550970008
# r 2
0	53757816   	160	400.0	0000000000000000000000001000000000000000000000000000010000000000	0000000000000000000000000000000000000000000001000000000000000000
# s 1550970009
# r 6
0	22094336   	63	400.0	0001000000000000000000000000000000000000000000000000000000011000	0010000000000000000000000000000000000000000000000000000000000000
1	36379246   	106	400.0	0000000000000000000000000000000000000000000000100000000000000000	0000000000000000000000000000000000000000000000000000100000000000
2	40044631   	117	400.0	0000000000000000000010000000000000000000000000000000000000000000	0000000000000000000000000000001100000000000000000010000000000000
3	55848035   	164	400.0	0000000000000000000001000000000000000000000000000000000000000000	0000000000000000000000011000000000000000000000000001100000000000
# s 1550970010
# r 2
0	21705364   	97	400.0	0000000000000000000000000000000000000000000000000000000000000010	0000000010000000000000000000000000000000000000000000000000000000
# s 1550970011
# r 3
0	3814980   	11	400.0	1000000000000000000000000000000000000000000000000000000000000000	0000000000001000000000000000000000000000000000000000000000000000
1	95079211   	311	400.0	0000000000000000000000000000010000000000000000000000100000000000	0000000000000000000000000010000000000000000000000000000000000000
# s 1550970012
# r 5
0	54915008   	268	400.0	0000000000000000000000000000000000000000000100000000000000000000	0000000000000000000000000000000000000000000000000100000000000000
1	98610374   	324	400.0	0000000000000000000000000000001000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000010000
# s 1550970013
# r 4
0	43166514   	146	400.0	0000000000100000000000000000000000000000000000000000000000000000	1000000000000000000000000000000000000000000000000000000000000000
1	87146444   	283	400.0	0000000000100000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000010000000000000000000000000
# s 1550970014
# r 0
# s 1550970015
# r 1
0	29639641   	85	400.0	0000000000000000000000000000000000000000000000000100000000000000	0000000000000000000000000000000000000000000000000010000000000000
# s 1550970016
# r 1
0	69902438   	208	400.0	0000000000000000000000000000000000000000000000000100000000000000	0000000000000000000000000000000001000000000000000000000000000000
# s 1550970017
# r 1
# s 1550970018
# r 7
0	13055921   	37	400.0	0010000000000000000000000000000000000000000000000000000010000000	0000000000000000001000000000000000000000000000000000000000000000
1	20429505   	59	400.0	0000000000000000000000000000000000100000000000000000000000000000	0000000000000000000000000000000000000000000000000100000000000000
2	40430125   	121	400.0	0000000000000000000000010000000000000000000000000000000000000000	0000000000000001000000000000000000000000000000000000000000000000
3	59447179   	179	400.0	0000000000000000100000000000000000000000000000000000110000000000	0000000000000000000000000000000000000000001000000000000000000000
4	93369285   	283	400.0	0000000000000001000000000000000000000000000000010000000000000000	0000000100000000000000000000000000000000000000000000000000000000
# s 1550970019
# r 1
0	60546022   	185	400.0	0000000000000100000000000000000000000000000000000000000000100000	0000000000000000000000000000001000000000000000000000000000000000
# s 1550970020
