0.00173	0.00173	0.00173	0.00173	0.00173	0.00173	0.00173	0.00173	0.00173	0.00173	0.00173	0.00173	0.00173	0.00173	0.00173	0.00173	0.00173	0.00173	0.00173	0.00173	0.00173	0.00173	0.00173	0.00173	0.00173	0.00173	0.00173	0.00173	0.00173	0.00173	0.00173	0.00173	0.00173	0.00173	0.00173	0.00173	0.00173	0.00173	0.00173	0.00173	0.00173	0.00173	0.00173	0.00173	0.00173	0.00173	0.00173	0.00173	0.00173	0.00173	0.00173	0.00173	0.00173	0.00173	0.00173	0.00173	0.00173	0.00173	0.00173	
0.00162	0.00162	0.00162	0.00162	0.00162	0.00162	0.00162	0.00162	0.00162	0.00162	0.00162	0.00162	0.00162	0.00162	0.00162	0.00162	0.00162	0.00162	0.00162	0.00162	0.00162	0.00162	0.00162	0.00162	0.00162	0.00162	0.00162	0.00162	0.00162	0.00162	0.00162	0.00162	0.00162	0.00162	0.00162	0.00162	0.00162	0.00162	0.00162	0.00162	0.00162	0.00162	0.00162	0.00162	0.00162	0.00162	0.00162	0.00162	0.00162	0.00162	0.00162	0.00162	0.00162	0.00162	0.00162	0.00162	0.00162	0.00162	0.00162	
0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	
0.0014	0.0014	0.0014	0.0014	0.0014	0.0014	0.0014	0.0014	0.0014	0.0014	0.0014	0.0014	0.0014	0.0014	0.0014	0.0014	0.0014	0.0014	0.0014	0.0014	0.0014	0.0014	0.0014	0.0014	0.0014	0.0014	0.0014	0.0014	0.0014	0.0014	0.0014	0.0014	0.0014	0.0014	0.0014	0.0014	0.0014	0.0014	0.0014	0.0014	0.0014	0.0014	0.0014	0.0014	0.0014	0.0014	0.0014	0.0014	0.0014	0.0014	0.0014	0.0014	0.0014	0.0014	0.0014	0.0014	0.0014	0.0014	0.0014	
0.0013	0.0013	0.0013	0.0013	0.0013	0.0013	0.0013	0.0013	0.0013	0.0013	0.0013	0.0013	0.0013	0.0013	0.0013	0.0013	0.0013	0.0013	0.0013	0.0013	0.0013	0.0013	0.0013	0.0013	0.0013	0.0013	0.0013	0.0013	0.0013	0.0013	0.0013	0.0013	0.0013	0.0013	0.0013	0.0013	0.0013	0.0013	0.0013	0.0013	0.0013	0.0013	0.0013	0.0013	0.0013	0.0013	0.0013	0.0013	0.0013	0.0013	0.0013	0.0013	0.0013	0.0013	0.0013	0.0013	0.0013	0.0013	0.0013	
0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	
0.00109	0.00109	0.00109	0.00109	0.00109	0.00109	0.00109	0.00109	0.00109	0.00109	0.00109	0.00109	0.00109	0.00109	0.00109	0.00109	0.00109	0.00109	0.00109	0.00109	0.00109	0.00109	0.00109	0.00109	0.00109	0.00109	0.00109	0.00109	0.00109	0.00109	0.00109	0.00109	0.00109	0.00109	0.00109	0.00109	0.00109	0.00109	0.00109	0.00109	0.00109	0.00109	0.00109	0.00109	0.00109	0.00109	0.00109	0.00109	0.00109	0.00109	0.00109	0.00109	0.00109	0.00109	0.00109	0.00109	0.00109	0.00109	0.00109	
0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	
0.00092	0.00092	0.00092	0.00092	0.00092	0.00092	0.00092	0.00092	0.00092	0.00092	0.00092	0.00092	0.00092	0.00092	0.00092	0.00092	0.00092	0.00092	0.00092	0.00092	0.00092	0.00092	0.00092	0.00092	0.00092	0.00092	0.00092	0.00092	0.00092	0.00092	0.00092	0.00092	0.00092	0.00092	0.00092	0.00092	0.00092	0.00092	0.00092	0.00092	0.00092	0.00092	0.00092	0.00092	0.00092	0.00092	0.00092	0.00092	0.00092	0.00092	0.00092	0.00092	0.00092	0.00092	0.00092	0.00092	0.00092	0.00092	0.00092	
0.00082	0.00082	0.00082	0.00082	0.00082	0.00082	0.00082	0.00082	0.00082	0.00082	0.00082	0.00082	0.00082	0.00082	0.00082	0.00082	0.00082	0.00082	0.00082	0.00082	0.00082	0.00082	0.00082	0.00082	0.00082	0.00082	0.00082	0.00082	0.00082	0.00082	0.00082	0.00082	0.00082	0.00082	0.00082	0.00082	0.00082	0.00082	0.00082	0.00082	0.00082	0.00082	0.00082	0.00082	0.00082	0.00082	0.00082	0.00082	0.00082	0.00082	0.00082	0.00082	0.00082	0.00082	0.00082	0.00082	0.00082	0.00082	0.00082	
