# Name = UIS1
# Version = 1.0
# Location = Universidad Industrial de Santander
# Sensors = Presion, Temperatura, Humedad, Irradiancia, Iluminancia, Ruido, LLuvia, CO2, NO2, Latitud, Longitud, Nubosidad
# Power = Red
# GPS = si
# Time Zone = UTC-5
# Data = UTCtime GPStime Presion Temperatura Humedad Irradiancia Iluminancia  Ruido Lluvia CO2 NO2 Latitud Longitud Nubosidad 
1500811244.0 71 115806.00	857.67	10.98	77.53	228.18	234.09	-0.00	0.00	309.83	0.00	0.00	0.00
1500811245.0 69 115806.00	857.67	10.98	75.95	228.18	236.72	-0.00	0.00	310.05	0.00	0.00	0.00
1500811246.0 69 115806.00	858.89	10.98	78.80	224.67	228.89	-0.00	0.00	309.77	0.00	0.00	0.00
1500811247.0 69 115806.00	857.67	10.98	76.74	231.69	238.04	-0.00	0.00	310.05	0.00	0.00	0.00
1500811248.0 69 115806.00	857.67	10.98	75.63	228.18	231.48	-0.00	0.00	309.94	0.00	0.00	0.00
1500811249.0 69 115806.00	859.24	11.17	76.58	229.93	234.09	-0.00	0.00	309.94	0.00	0.00	0.00
1500811250.0 69 115806.00	859.24	11.17	73.58	228.18	231.48	-2.33	0.00	309.89	0.00	0.00	0.00
1500811251.0 69 115806.00	858.03	11.17	75.79	228.18	232.78	-0.00	0.00	310.11	0.00	0.00	0.00
1500811252.0 69 115806.00	857.67	10.98	78.01	228.18	231.48	-0.00	0.00	309.94	0.00	0.00	0.00
1500811253.0 69 115806.00	858.53	10.79	71.04	229.93	238.04	-0.00	0.00	310.11	0.00	0.00	0.00
1500811254.0 69 115806.00	857.67	10.98	71.20	229.93	232.78	-0.00	0.00	310.00	0.00	0.00	0.00
1500811255.0 69 115806.00	857.67	10.98	76.11	233.44	238.04	-0.00	0.00	310.05	0.00	0.00	0.00
1500811256.0 69 115806.00	857.67	10.98	78.01	229.93	232.78	-0.00	0.00	309.89	0.00	0.00	0.00
1500811257.0 68 115806.00	858.89	10.98	76.42	229.93	231.48	-0.00	0.00	309.89	0.00	0.00	0.00
1500811258.0 68 115806.00	856.11	10.79	77.22	231.69	234.09	-0.00	0.00	309.94	473.68	0.00	0.00
1500811259.0 68 115806.00	858.03	11.17	70.73	231.69	232.78	-0.00	0.00	310.17	0.00	0.00	0.00
1500811260.0 68 115806.00	855.75	10.61	77.22	233.44	235.40	-0.00	0.00	309.94	0.00	0.00	0.00
1500811261.0 68 115806.00	858.89	10.98	76.11	236.95	238.04	4.66	0.00	310.00	0.00	0.00	0.00
1500811262.0 68 115806.00	857.32	10.79	73.89	233.44	234.09	-0.00	0.00	310.05	0.00	0.00	0.00
1500811263.0 66 115806.00	857.67	10.98	78.48	233.44	231.48	-2.33	0.00	309.89	0.00	0.00	0.00
